interaction_id,user_id,book_id,action
1,2505,573,like
2,184,850,search
3,3590,1534,search
4,2125,730,click
5,5089,55,like
6,5771,367,click
7,4493,763,click
8,4541,223,like
9,5116,944,search
10,5804,1431,search
11,439,307,search
12,1959,1672,search
13,1784,700,click
14,1113,306,like
15,2530,2093,click
16,4829,2000,like
17,1697,115,search
18,1043,1751,search
19,1776,2087,like
20,4527,173,like
21,4351,1035,view
22,420,1078,view
23,3856,1412,like
24,3578,2148,search
25,2118,313,like
26,5866,1049,click
27,2593,602,view
28,948,479,search
29,436,1993,requested
30,5359,633,view
31,2786,494,click
32,3382,765,like
33,4365,1816,view
34,3170,205,click
35,4710,454,click
36,1376,2060,like
37,4053,1936,click
38,4343,841,search
39,1659,1961,requested
40,4569,1463,view
41,400,279,click
42,4015,1916,like
43,494,1675,requested
44,2954,5,like
45,2136,1581,search
46,1652,16,search
47,3966,149,requested
48,3406,8,requested
49,2479,1092,like
50,2875,1030,requested
51,1921,1791,click
52,5623,1166,requested
53,1036,1024,click
54,2087,73,like
55,2057,875,search
56,3602,1933,view
57,2339,341,view
58,2374,20,like
59,2005,1717,click
60,5938,604,search
61,2712,1555,requested
62,4438,1046,click
63,3127,1128,requested
64,5810,803,click
65,2479,2129,requested
66,154,912,like
67,1624,2128,view
68,5102,125,requested
69,5793,673,search
70,2761,11,requested
71,4810,1681,click
72,3753,505,search
73,3502,887,like
74,4615,1785,requested
75,4156,1620,search
76,2963,1805,like
77,4035,2189,like
78,2974,815,click
79,3401,1783,search
80,5607,728,requested
81,1620,916,like
82,5925,327,view
83,5971,844,search
84,5667,1361,search
85,1613,607,requested
86,4281,1008,search
87,4608,19,search
88,5885,1720,search
89,530,1475,search
90,1229,783,click
91,334,2057,view
92,5252,1647,view
93,5727,1834,view
94,2417,1035,view
95,5469,540,like
96,1035,536,like
97,5886,766,requested
98,4850,1446,click
99,4033,428,view
100,1370,1661,search
101,5771,1145,search
102,498,1789,requested
103,1684,306,view
104,1687,1251,like
105,3924,1748,like
106,2222,1556,requested
107,188,865,view
108,5672,1640,like
109,1133,630,view
110,433,1254,click
111,5829,1903,like
112,5627,1567,view
113,713,2120,search
114,5807,1007,requested
115,5448,432,like
116,3071,2218,click
117,4705,1331,search
118,3307,1275,search
119,5154,1038,view
120,619,117,like
121,3927,2241,search
122,5725,2004,like
123,1768,297,view
124,2670,1040,requested
125,4584,1007,like
126,2548,2225,search
127,319,912,view
128,1969,753,view
129,4997,1033,like
130,573,319,requested
131,2762,1361,search
132,3456,635,like
133,3949,721,requested
134,5078,853,view
135,2952,631,click
136,1467,578,search
137,2257,441,click
138,3078,1850,like
139,1898,592,view
140,4781,1313,requested
141,2979,495,view
142,3172,1624,click
143,2381,451,click
144,3620,462,like
145,3317,1439,like
146,2580,1314,like
147,4384,602,view
148,3347,1251,click
149,3410,1456,like
150,1005,900,like
151,4320,883,click
152,3340,778,click
153,2890,1966,search
154,840,1836,view
155,4414,1783,search
156,5527,454,search
157,3839,1907,requested
158,995,438,requested
159,4248,1533,click
160,899,1462,view
161,586,1828,like
162,1217,1460,requested
163,4419,1130,click
164,715,1881,search
165,1572,1695,view
166,2050,986,click
167,5821,1262,view
168,753,2211,search
169,2500,1758,like
170,1948,1191,view
171,4277,1248,view
172,3459,2226,like
173,4368,1420,click
174,4073,1234,requested
175,5535,2228,view
176,5056,1415,like
177,3314,1762,search
178,868,1133,like
179,5547,1222,click
180,5065,921,like
181,2539,1900,like
182,5471,1910,like
183,2848,2072,click
184,5671,330,view
185,3319,1488,like
186,1667,1908,click
187,4112,601,requested
188,3248,890,like
189,4244,300,click
190,1499,1506,requested
191,5872,725,search
192,4543,1435,search
193,3190,1242,like
194,85,164,view
195,1852,602,search
196,1447,1574,click
197,589,591,view
198,5623,1179,view
199,1461,228,click
200,3690,2237,like
201,196,1916,view
202,1858,243,search
203,2329,1992,search
204,1746,1010,view
205,5152,639,view
206,4670,704,search
207,613,2067,click
208,1945,1606,like
209,3057,1067,requested
210,3030,100,requested
211,3238,1010,requested
212,1422,6,search
213,4389,827,requested
214,3591,431,like
215,46,1632,view
216,2186,297,like
217,1942,1834,search
218,394,27,like
219,538,2093,like
220,936,1320,requested
221,875,2087,requested
222,4846,163,search
223,1123,1603,search
224,3603,1550,like
225,5872,1206,requested
226,5037,1129,like
227,1468,1202,requested
228,1510,882,click
229,5704,2159,click
230,4244,347,requested
231,840,558,click
232,603,1546,requested
233,4938,2021,requested
234,2832,1360,like
235,1544,1540,requested
236,5810,1988,click
237,611,1777,search
238,4969,814,like
239,5422,1453,requested
240,3053,761,requested
241,1221,132,requested
242,689,1235,click
243,4747,1414,click
244,723,1962,search
245,4549,80,search
246,3222,981,search
247,1509,1265,view
248,2616,92,click
249,3155,915,search
250,193,1097,click
251,3655,2190,view
252,1296,1123,click
253,5533,1077,view
254,2954,1611,view
255,2268,1077,view
256,4872,415,click
257,1530,1647,requested
258,3843,1661,view
259,2886,1341,view
260,4728,1581,search
261,2218,936,click
262,5376,668,view
263,5292,425,like
264,2085,2123,requested
265,1732,2180,like
266,2002,467,click
267,3758,2089,like
268,3303,1393,view
269,532,1294,requested
270,2024,1885,view
271,717,267,view
272,4648,1915,click
273,1500,498,view
274,468,1026,click
275,4253,815,click
276,2159,1550,requested
277,3885,87,like
278,2220,1412,click
279,1126,1942,click
280,3641,578,like
281,809,200,view
282,3719,1933,view
283,517,130,like
284,3216,1503,click
285,2251,1922,search
286,4955,687,requested
287,5359,2171,search
288,3721,15,click
289,800,1343,like
290,2243,1907,click
291,3039,2128,click
292,321,398,like
293,659,2133,like
294,453,2103,search
295,3725,1440,requested
296,2773,2248,search
297,4094,1576,like
298,2432,1450,requested
299,3172,590,like
300,2449,1234,view
301,3463,1859,click
302,4472,299,view
303,2062,2227,like
304,4525,399,requested
305,3914,492,view
306,935,1876,search
307,3588,465,like
308,5206,725,requested
309,4983,1317,like
310,5344,859,requested
311,1527,70,requested
312,3130,2206,view
313,4315,1242,click
314,2607,1409,requested
315,904,836,like
316,4825,1843,click
317,5775,187,like
318,1336,1738,view
319,4643,947,view
320,2563,1298,view
321,1986,2235,view
322,5115,961,view
323,4157,960,search
324,2228,1527,search
325,1370,318,click
326,5093,1111,click
327,3947,675,requested
328,1800,1401,search
329,3733,1727,like
330,5910,1968,like
331,1355,858,requested
332,3080,551,click
333,1698,223,like
334,2638,1715,like
335,2365,1631,like
336,1572,1451,like
337,3002,1021,view
338,4405,168,view
339,4781,1965,requested
340,769,1990,like
341,86,1774,requested
342,2884,1698,like
343,4440,2231,click
344,2262,928,like
345,3946,840,requested
346,2263,897,view
347,5081,578,requested
348,2674,703,click
349,4869,825,requested
350,2921,608,search
351,3524,1238,like
352,3134,232,requested
353,3797,40,requested
354,1184,2217,like
355,5292,1475,search
356,4951,2223,click
357,4476,2096,view
358,1894,530,search
359,1165,587,like
360,3898,1688,like
361,3220,1735,like
362,4083,1514,view
363,4392,1287,requested
364,792,145,requested
365,4926,332,click
366,4800,1026,like
367,3181,1270,like
368,1564,1001,requested
369,3975,1372,search
370,3101,983,view
371,3287,1499,requested
372,4176,259,like
373,4354,671,like
374,3994,429,like
375,4523,559,requested
376,1163,316,view
377,5760,599,view
378,2793,1838,search
379,2416,820,requested
380,3442,154,click
381,4030,181,click
382,5440,1405,click
383,1929,1024,view
384,1079,81,search
385,3045,1765,click
386,4429,2118,click
387,5343,2202,search
388,953,1903,requested
389,212,1220,requested
390,5837,1805,click
391,1364,588,view
392,2462,1026,click
393,4421,1520,requested
394,1803,986,view
395,968,2009,requested
396,1442,134,click
397,5963,171,like
398,919,354,like
399,3613,610,view
400,4446,1776,search
401,2687,402,view
402,872,1269,requested
